,keyword,count
0,브레이브걸스,805
1,롤린,633
2,수비드,357
3,대통령,228
4,스튜디오,216
5,퀴즈,212
6,펜트하우스,209
7,슈퍼주니어,206
8,선물,196
9,오븐,192
10,병맛,187
12,뉴스,182
11,치킨,182
13,아빠,180
14,인기가요,161
15,고기,157
16,블럭,156
17,저희,153
18,운동,152
19,시작,151
20,출연,148
21,배달,148
22,더빙,146
23,친구,144
25,확인,142
24,보고,142
27,다이어트,141
28,서울,141
26,아이돌,141
29,역주행,139
30,강아지,139
31,하나,138
32,투자,135
33,질문,133
34,쁘걸,132
35,준비,132
39,아이즈,128
40,윤여정,128
37,소금,128
38,김밥,128
36,직접,128
41,모습,127
42,진행,127
43,조개,126
44,자주,126
45,택배,125
46,보관,125
47,진짜,124
48,뿌리,124
49,인생,122
